[2019-08-12 09:14:17.324614] INFO: match_province: [ Error: province_failed | sorc_id: 8608573 | company: 粤东+琼东莞市瑞通汽车贸易有限公司 | marketing: 粤东+琼]
[2019-08-12 09:14:17.329613] INFO: match_province: [ Error: province_failed | sorc_id: 8608576 | company: 粤东+琼东莞市港丰汽车维修服务有限公司 | marketing: 粤东+琼]
[2019-08-12 09:14:17.334612] INFO: match_province: [ Error: province_failed | sorc_id: 8618903 | company: 晋北临汾晋驰汽车维修有限公司 | marketing: 晋北]
[2019-08-12 09:14:17.340614] INFO: match_province: [ Error: province_failed | sorc_id: 8618906 | company: 晋北临汾晋驰汽车维修有限公司 | marketing: 晋北]
[2019-08-12 09:14:17.345615] INFO: match_province: [ Error: province_failed | sorc_id: 8618908 | company: 晋北临汾晋驰汽车维修有限公司 | marketing: 晋北]
[2019-08-12 09:14:17.351727] INFO: match_province: [ Error: province_failed | sorc_id: 8618918 | company: 黑吉七台河市昌博汽车销售服务有限公司 | marketing: 黑吉]
[2019-08-12 09:14:17.359626] INFO: match_province: [ Error: province_failed | sorc_id: 8619152 | company: 川南天全县宏伟汽车修理厂 | marketing: 川南]
[2019-08-12 09:14:17.367614] INFO: match_province: [ Error: province_failed | sorc_id: 8618932 | company: 晋北侯马市重和汽车修理厂 | marketing: 晋北]
[2019-08-12 09:14:17.375616] INFO: match_province: [ Error: province_failed | sorc_id: 8618933 | company: 晋北盂县晋田汽车销售服务有限公司 | marketing: 晋北]
[2019-08-12 09:14:17.383615] INFO: match_province: [ Error: province_failed | sorc_id: 8619060 | company: 黑吉绥化福仕达汽车销售服务有限公司 | marketing: 黑吉]
[2019-08-12 09:14:17.392624] INFO: match_province: [ Error: province_failed | sorc_id: 8619061 | company: 黑吉绥化福仕达汽车销售服务有限公司 | marketing: 黑吉]
[2019-08-12 09:14:17.400615] INFO: match_province: [ Error: province_failed | sorc_id: 8619162 | company: 福州厦门市星马王汽车销售有限公司 | marketing: 福州]
[2019-08-12 09:14:17.408618] INFO: match_province: [ Error: province_failed | sorc_id: 8618945 | company: 晋北盂县晋田汽车销售服务有限公司 | marketing: 晋北]
[2019-08-12 09:14:17.416618] INFO: match_province: [ Error: province_failed | sorc_id: 8618984 | company: 黑吉哈尔滨铭远汽车销售服务有限公司 | marketing: 黑吉]
[2019-08-12 09:14:17.424620] INFO: match_province: [ Error: province_failed | sorc_id: 8619076 | company: 黑吉扎兰屯市佳运汽车销售有限公司 | marketing: 黑吉]
[2019-08-12 09:14:17.433619] INFO: match_province: [ Error: province_failed | sorc_id: 8619175 | company: 晋北五寨县鸿兴汽贸有限责任公司 | marketing: 晋北]
[2019-08-12 09:14:17.441633] INFO: match_province: [ Error: province_failed | sorc_id: 8618994 | company: 川南凉山州万泰汽车家园有限公司 | marketing: 川南]
[2019-08-12 09:14:17.449621] INFO: match_province: [ Error: province_failed | sorc_id: 8619023 | company: 黑吉哈尔滨铭远汽车销售服务有限公司 | marketing: 黑吉]
[2019-08-12 09:14:17.457631] INFO: match_province: [ Error: province_failed | sorc_id: 8618999 | company: 晋北五台县强胜汽修有限公司 | marketing: 晋北]
[2019-08-12 09:14:17.466624] INFO: match_province: [ Error: province_failed | sorc_id: 8619033 | company: 晋北忻州汇福汽车销售服务有限公司 | marketing: 晋北]
